,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,58,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,12,0,3,0,107,0,0,0,0,0,6,0,0,0,0,0,0,0
ṇ,58,0,0,0,181,58,0,0,1,0,17,13,0,2,0,0,0,0
ṟ,58,0,3,0,0,0,99,0,0,0,10,0,0,0,0,0,0,0
ṉ,17,0,0,0,0,0,327,218,1,0,43,9,2,0,0,0,0,0
t,0,0,0,0,0,0,0,0,293,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,552,4,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0,0,0,122,87,0,0,0,0,0,0
y,30,0,0,0,0,0,0,0,76,11,9,6,40,5,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
r,24,0,4,0,0,0,0,0,15,55,47,3,0,10,0,0,0,0
l,37,0,4,0,0,0,0,0,0,0,0,0,0,27,0,169,0,0
ḷ,5,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,95,0
ḻ,5,0,0,0,0,0,0,0,11,31,6,1,0,2,0,0,0,0
