,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,192,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,38,0,4,0,377,0,0,0,0,0,27,0,0,0,0,0,0,0
ṇ,61,0,0,0,525,147,0,0,2,0,51,22,0,1,0,0,0,0
ṟ,70,0,9,0,0,0,595,0,0,0,45,0,0,0,0,0,0,0
ṉ,19,0,1,0,0,0,704,374,2,0,90,30,1,0,0,0,0,0
t,0,0,0,0,0,0,0,0,1012,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,1274,8,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0,0,0,229,96,0,1,0,0,0,0
y,44,0,2,0,0,0,0,0,166,47,22,9,87,32,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0
r,133,0,16,0,0,0,0,0,74,196,167,2,0,27,0,0,0,0
l,79,0,0,0,0,0,0,0,0,1,6,0,0,70,0,552,0,0
ḷ,6,0,0,0,0,0,0,0,2,0,12,0,0,49,0,0,148,0
ḻ,16,0,1,0,0,0,0,0,37,60,33,1,0,14,0,0,0,0
