,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,420,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,122,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,13,0,3,0,175,0,0,0,0,0,17,0,0,0,0,0,0,0
ṇ,17,0,0,0,172,123,0,0,2,0,17,15,0,0,0,0,0,0
ṟ,50,0,5,0,0,0,153,0,0,0,15,0,0,0,0,0,0,0
ṉ,20,0,0,0,0,0,403,239,1,0,38,25,2,0,0,0,0,0
t,0,0,0,0,0,0,0,0,419,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,615,6,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0
m,1,0,0,0,0,0,0,0,0,0,188,66,0,2,0,0,0,0
y,19,0,0,0,0,0,0,0,59,14,2,5,21,14,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
r,43,0,1,0,0,0,0,0,27,54,65,3,0,6,0,0,0,0
l,38,0,1,0,0,0,0,0,0,0,9,0,1,29,0,243,0,0
ḷ,2,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,107,0
ḻ,9,0,1,0,0,0,0,0,23,35,7,0,0,2,0,0,0,0
