,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,696,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,258,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,29,0,6,0,284,0,0,0,0,0,18,0,0,0,0,0,0,0
ṇ,50,0,0,0,293,158,0,0,6,0,28,23,0,4,0,0,0,0
ṟ,57,0,8,0,0,0,272,0,0,0,24,0,0,0,0,0,0,0
ṉ,26,0,0,0,0,0,607,371,1,0,64,39,7,0,0,0,0,0
t,0,0,0,0,0,0,0,0,654,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,1127,7,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0,0,0,311,115,0,0,0,0,0,0
y,19,0,0,0,0,0,0,0,152,24,7,16,53,14,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
r,65,0,1,0,0,0,0,0,50,131,113,4,0,26,0,0,0,0
l,91,0,4,0,0,0,0,0,0,0,12,1,2,53,0,319,0,0
ḷ,12,0,0,0,0,0,0,0,0,0,6,0,0,12,0,0,147,0
ḻ,12,0,2,0,0,0,0,0,19,54,4,0,0,1,0,0,0,0
