,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,788,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,154,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,46,0,18,0,412,0,0,0,0,0,22,0,0,0,0,0,0,0
ṇ,45,0,0,0,506,220,0,0,3,0,33,62,0,4,0,0,0,0
ṟ,76,0,1,0,0,0,485,0,0,0,28,0,0,0,0,0,0,0
ṉ,45,0,1,0,0,0,789,490,1,0,74,61,0,1,0,0,0,0
t,0,0,0,0,0,0,0,0,1044,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,1488,20,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,541,0,0,0,0,0,0,0
m,4,0,0,0,0,0,0,0,0,0,375,90,0,1,0,0,0,0
y,22,0,0,0,0,0,0,0,110,47,14,18,57,9,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0
r,209,0,8,0,0,0,0,0,71,124,97,8,0,24,0,0,0,0
l,86,0,7,0,0,0,0,0,1,0,4,0,0,76,0,450,0,0
ḷ,12,0,0,0,0,0,0,0,0,0,6,1,1,26,0,0,259,0
ḻ,39,0,5,0,0,0,0,0,37,65,6,0,0,10,0,0,0,0
