,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,2,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ṇ,0,0,0,0,17,15,0,0,1,0,1,1,0,0,0,0,0,0
ṟ,1,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0
ṉ,3,0,0,0,0,0,24,18,0,0,1,2,0,0,0,0,0,0
t,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
m,1,0,0,0,0,0,0,0,1,0,25,4,0,0,0,0,0,0
y,0,0,0,0,0,0,0,0,3,3,1,2,4,1,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,6,0,1,0,0,0,0,0,2,9,4,0,0,2,0,0,0,0
l,1,0,0,0,0,0,0,0,0,0,4,0,0,3,0,17,0,0
ḷ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0
ḻ,0,0,0,0,0,0,0,0,2,3,2,0,0,1,0,0,0,0
