,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,2,0,4,0,23,0,0,0,0,0,2,0,0,0,0,0,0,0
ṇ,2,0,0,0,28,6,0,0,1,0,3,1,0,2,0,0,0,0
ṟ,3,0,0,0,0,0,26,0,0,0,4,0,0,0,0,0,0,0
ṉ,2,0,0,0,0,0,42,20,1,0,4,1,0,0,0,0,0,0
t,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,81,2,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0,1,0,27,3,0,0,0,0,0,0
y,0,0,0,0,0,0,0,0,8,1,1,4,3,8,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,9,0,0,0,0,0,0,0,6,8,13,0,0,3,0,0,0,0
l,4,0,0,0,0,0,0,0,0,0,2,1,0,10,0,3,0,0
ḷ,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0
ḻ,0,0,0,0,0,0,0,0,2,7,1,0,0,0,0,0,0,0
