,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
ṇ,1,0,0,0,17,8,0,0,0,0,1,1,0,0,0,0,0,0
ṟ,1,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0
ṉ,4,0,0,0,0,0,16,17,0,0,1,0,0,0,0,0,0,0
t,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0,0,0,19,8,0,0,0,0,0,0
y,0,0,0,0,0,0,0,0,3,0,0,1,1,2,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
r,2,0,0,0,0,0,0,0,1,6,8,1,0,0,0,0,0,0
l,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10,0,0
ḷ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
ḻ,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
