,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,1,0,1,0,18,0,0,0,0,0,2,0,0,0,0,0,0,0
ṇ,2,0,0,0,18,8,0,0,0,1,1,2,0,0,0,0,0,0
ṟ,1,0,0,0,0,0,24,0,0,0,3,0,0,0,0,0,0,0
ṉ,3,0,0,0,0,0,24,22,0,0,1,2,0,1,0,0,0,0
t,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0
y,0,0,0,0,0,0,0,0,6,1,2,1,9,1,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
r,3,0,0,0,0,0,0,0,4,5,5,0,0,1,0,0,0,0
l,6,0,0,0,0,0,0,0,0,0,1,0,0,5,0,20,0,0
ḷ,2,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,2,0
ḻ,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
