,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,4,0,0,0,52,0,0,0,0,0,9,0,0,0,0,0,0,0
ṇ,0,0,0,0,66,18,0,0,0,0,1,5,0,1,0,0,0,0
ṟ,2,0,2,0,0,0,78,0,0,0,4,0,0,0,0,0,0,0
ṉ,2,0,0,0,0,0,91,61,0,0,4,2,0,0,0,0,0,0
t,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,224,6,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0,4,0,62,14,0,0,0,0,0,0
y,4,0,0,0,0,0,0,0,16,4,1,6,9,1,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
r,14,0,1,0,0,0,0,0,11,43,20,2,0,4,0,0,0,0
l,1,0,2,0,0,0,0,0,1,0,1,0,0,6,0,26,0,0
ḷ,4,0,0,0,0,0,0,0,2,0,4,1,0,1,0,0,16,0
ḻ,2,0,0,0,0,0,0,0,5,21,2,0,0,2,0,0,0,0
