,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,2,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
ṇ,2,0,0,0,9,7,0,0,1,0,1,1,0,1,0,0,0,0
ṟ,3,0,0,0,0,0,23,0,0,0,1,0,0,0,0,0,0,0
ṉ,2,0,0,0,0,0,22,26,0,0,0,3,1,1,0,0,0,0
t,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,74,1,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,0,0
y,1,0,0,0,0,0,0,0,8,3,0,1,0,1,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
r,12,0,0,0,0,0,0,0,6,10,5,0,0,2,0,0,0,0
l,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0
ḷ,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,9,0
ḻ,2,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0
