,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,1,0,0,0,29,0,0,0,0,0,1,0,0,0,0,0,0,0
ṇ,1,0,0,0,19,12,0,0,1,0,0,1,0,0,0,0,0,0
ṟ,2,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
ṉ,1,0,0,0,0,0,26,7,1,0,0,1,1,0,0,0,0,0
t,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,59,2,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
y,3,0,0,0,0,0,0,0,5,0,1,3,5,1,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
r,3,0,0,0,0,0,0,0,5,7,3,0,0,1,0,0,0,0
l,3,0,0,0,0,0,0,0,2,0,0,0,0,3,0,5,0,0
ḷ,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,5,0
ḻ,4,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
