,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,102,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,18,0,13,0,270,0,0,0,0,0,16,0,0,0,0,0,0,0
ṇ,12,0,0,0,273,115,0,0,5,1,14,17,0,5,0,0,0,0
ṟ,25,0,2,0,0,0,282,0,0,0,24,0,0,0,0,0,0,0
ṉ,21,0,0,0,0,0,354,286,3,0,16,20,4,2,0,0,0,0
t,0,0,0,0,0,0,0,0,740,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,922,15,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,437,0,0,0,0,0,0,0
m,3,0,0,0,0,0,0,0,8,0,334,41,0,0,0,0,0,0
y,19,0,0,0,0,0,0,0,71,28,11,20,42,18,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0
r,67,0,2,0,0,0,0,0,59,135,85,5,0,21,0,0,0,0
l,40,0,8,0,0,0,0,0,4,1,13,2,2,41,0,152,0,0
ḷ,14,0,1,0,0,0,0,0,6,1,6,6,0,13,0,0,100,0
ḻ,13,0,1,0,0,0,0,0,16,56,9,0,0,5,0,0,0,0
