,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,2,0,3,0,53,0,0,0,0,0,1,0,0,0,0,0,0,0
ṇ,1,0,0,0,35,12,0,0,1,0,1,1,0,1,0,0,0,0
ṟ,1,0,0,0,0,0,36,0,0,0,1,0,0,0,0,0,0,0
ṉ,1,0,0,0,0,0,47,46,1,0,1,4,0,0,0,0,0,0
t,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,109,4,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0
y,8,0,0,0,0,0,0,0,8,9,2,1,3,1,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
r,9,0,0,0,0,0,0,0,9,16,8,1,0,3,0,0,0,0
l,8,0,3,0,0,0,0,0,1,1,2,1,2,8,0,20,0,0
ḷ,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,21,0
ḻ,3,0,0,0,0,0,0,0,1,3,2,0,0,1,0,0,0,0
