,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,4,0,2,0,35,0,0,0,0,0,1,0,0,0,0,0,0,0
ṇ,2,0,0,0,51,25,0,0,0,0,4,4,0,0,0,0,0,0
ṟ,11,0,0,0,0,0,44,0,0,0,8,0,0,0,0,0,0,0
ṉ,1,0,0,0,0,0,54,65,0,0,3,5,1,0,0,0,0,0
t,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0
m,1,0,0,0,0,0,0,0,2,0,67,9,0,0,0,0,0,0
y,3,0,0,0,0,0,0,0,8,7,1,0,5,1,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
r,9,0,0,0,0,0,0,0,12,27,12,1,0,5,0,0,0,0
l,6,0,3,0,0,0,0,0,0,0,2,0,0,1,0,34,0,0
ḷ,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,17,0
ḻ,0,0,1,0,0,0,0,0,1,6,2,0,0,1,0,0,0,0
