,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ṇ,1,0,0,0,13,4,0,0,0,0,1,0,0,0,0,0,0,0
ṟ,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0
ṉ,2,0,0,0,0,0,8,4,0,0,1,0,1,0,0,0,0,0
t,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
m,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
y,0,0,0,0,0,0,0,0,6,0,2,1,3,1,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
r,0,0,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,0
l,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
ḷ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
ḻ,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
