,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,192,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,38,0,4,0,377,0,0,0,0,0,27,0,0,0,0,0,0,0
ṇ,110,0,35,1,525,147,0,0,64,44,130,55,4,21,0,0,0,0
ṟ,70,0,9,0,0,0,595,0,0,0,45,0,0,0,0,0,0,0
ṉ,296,0,142,6,0,0,704,374,281,259,400,350,58,154,0,0,0,0
t,0,0,0,0,0,0,0,0,1012,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,1274,8,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0,0,0
m,459,0,195,5,0,0,0,0,293,234,716,303,30,196,0,0,0,0
y,132,0,65,0,0,0,0,0,224,156,82,55,98,65,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0
r,378,0,109,12,0,0,0,0,266,323,369,186,14,170,0,0,0,0
l,307,0,106,7,0,0,0,0,182,214,239,163,36,260,0,552,0,0
ḷ,71,0,32,4,0,0,0,0,71,96,100,90,14,122,0,0,148,0
ḻ,59,0,19,3,0,0,0,0,58,89,73,23,0,36,0,0,0,0
