,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,420,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,122,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,14,0,3,0,175,0,0,0,0,0,17,0,0,0,0,0,0,0
ṇ,52,0,10,1,172,123,0,0,44,28,56,49,2,12,0,0,0,0
ṟ,50,0,5,0,0,0,153,0,0,0,15,0,0,0,0,0,0,0
ṉ,167,0,71,4,0,0,403,239,153,126,186,151,30,77,0,0,0,0
t,0,0,0,0,0,0,0,0,419,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,615,6,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0
m,337,0,131,2,0,0,0,0,233,137,485,157,18,86,0,0,0,0
y,41,0,11,0,0,0,0,0,77,27,29,16,22,37,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
r,224,0,55,5,0,0,0,0,102,149,179,109,17,97,0,0,0,0
l,147,0,48,1,0,0,0,0,80,81,130,69,16,148,0,243,0,0
ḷ,37,0,11,1,0,0,0,0,25,41,38,30,5,42,0,0,107,0
ḻ,27,0,5,0,0,0,0,0,31,38,19,11,1,6,0,0,0,0
