,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,696,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,258,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,29,0,6,0,284,0,0,0,0,0,18,0,0,0,0,0,0,0
ṇ,128,0,27,1,293,158,0,0,57,42,114,80,6,27,0,0,0,0
ṟ,57,0,8,0,0,0,272,0,0,0,24,0,0,0,0,0,0,0
ṉ,273,0,94,1,0,0,607,371,186,163,309,237,39,152,0,0,0,0
t,0,0,0,0,0,0,0,0,654,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,1127,7,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0
m,635,0,257,0,0,0,0,0,359,221,802,296,24,196,0,0,0,0
y,59,0,16,2,0,0,0,0,191,57,70,44,57,43,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
r,290,0,115,8,0,0,0,0,186,267,295,210,10,208,0,0,0,0
l,347,0,114,5,0,0,0,0,147,164,250,186,29,259,0,319,0,0
ḷ,92,0,30,0,0,0,0,0,41,49,67,48,12,75,0,0,147,0
ḻ,39,0,13,0,0,0,0,0,36,79,38,14,2,26,0,0,0,0
