,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,41,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,11,0,3,0,123,0,0,0,0,0,5,0,0,0,0,0,0,0
ṇ,42,0,16,0,177,95,0,0,32,14,52,41,1,16,0,0,0,0
ṟ,40,0,0,0,0,0,233,0,0,0,24,0,0,0,0,0,0,0
ṉ,108,0,45,3,0,0,298,119,85,78,122,111,9,59,0,0,0,0
t,0,0,0,0,0,0,0,0,528,0,0,0,0,1,0,0,0,0
n,0,0,0,0,0,0,0,0,545,5,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0
m,232,0,94,6,0,0,0,0,153,109,401,164,12,122,0,0,0,0
y,34,0,12,0,0,0,0,0,55,39,25,30,39,30,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
r,181,0,67,2,0,0,0,0,153,170,254,143,7,117,0,0,0,0
l,117,0,49,4,0,0,0,0,86,53,113,98,10,135,0,148,0,0
ḷ,36,0,14,1,0,0,0,0,29,29,39,35,2,50,0,0,59,0
ḻ,21,0,15,1,0,0,0,0,43,24,46,17,0,27,0,0,0,0
