,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,1312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,1952,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,529,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,51,0,10,0,723,0,0,0,0,0,37,0,0,0,0,0,0,0
ṇ,341,0,72,5,719,368,0,0,163,153,320,159,7,86,0,0,0,0
ṟ,91,0,23,0,0,0,734,0,0,0,58,0,0,0,0,0,0,0
ṉ,653,0,280,7,0,0,1265,928,490,489,736,599,65,444,0,0,0,0
t,0,0,0,0,0,0,0,0,2077,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,3163,31,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,1060,0,0,0,0,0,0,0
m,1457,0,698,3,0,0,0,0,894,536,2236,668,42,405,0,0,0,0
y,182,0,74,3,0,0,0,0,372,154,202,116,105,124,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0
r,886,0,275,23,0,0,0,0,528,678,847,581,37,568,0,0,0,0
l,825,0,295,4,0,0,0,0,345,376,641,508,109,731,0,832,0,0
ḷ,202,0,64,2,0,0,0,0,121,152,199,136,15,211,0,0,401,0
ḻ,121,0,38,0,0,0,0,0,117,204,112,72,0,60,0,0,0,0
