,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,4511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,5375,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,1421,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,212,0,49,0,2306,0,0,0,0,0,142,0,0,0,0,0,0,0
ṇ,969,0,206,11,2712,1237,0,0,503,364,915,566,38,241,0,0,0,0
ṟ,458,0,49,0,0,0,2704,0,0,0,219,0,0,0,0,0,0,0
ṉ,2155,0,848,31,0,0,4568,2845,1647,1546,2571,1973,262,1305,0,0,0,0
t,0,0,0,0,0,0,0,0,6393,0,0,0,0,1,0,0,0,0
n,0,0,0,0,0,0,0,0,9324,86,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,3327,0,0,0,0,0,0,0
m,4257,0,1813,28,0,0,0,0,2665,1629,6410,2208,180,1419,0,0,0,0
y,580,0,202,5,0,0,0,0,1180,557,508,346,428,378,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0
r,2775,0,832,69,0,0,0,0,1659,2185,2607,1629,129,1528,0,0,0,0
l,2354,0,821,26,0,0,0,0,1101,1164,1904,1390,286,2093,0,2793,0,0
ḷ,561,0,186,12,0,0,0,0,375,470,586,446,67,680,0,0,1273,0
ḻ,378,0,129,4,0,0,0,0,379,601,377,195,6,200,0,0,0,0
