,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,58,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,12,0,3,0,107,0,0,0,0,0,7,0,0,0,0,0,0,0
ṇ,95,0,11,1,181,58,0,0,46,21,73,35,6,13,0,0,0,0
ṟ,58,0,3,0,0,0,99,0,0,0,10,0,0,0,0,0,0,0
ṉ,150,0,36,1,0,0,327,218,116,99,210,129,13,92,0,0,0,0
t,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,552,4,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0
m,277,0,101,0,0,0,0,0,192,113,331,197,18,78,0,0,0,0
y,54,0,8,0,0,0,0,0,87,30,29,22,40,27,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
r,115,0,52,12,0,0,0,0,98,128,133,71,4,48,0,0,0,0
l,147,0,42,1,0,0,0,0,59,66,100,82,13,117,0,169,0,0
ḷ,37,0,11,2,0,0,0,0,21,37,43,22,5,38,0,0,95,0
ḻ,16,0,6,0,0,0,0,0,16,43,22,10,0,4,0,0,0,0
