,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,67,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,11,0,2,0,105,0,0,0,0,0,8,0,0,0,0,0,0,0
ṇ,48,0,10,0,139,68,0,0,24,14,44,31,3,19,0,0,0,0
ṟ,16,0,0,0,0,0,133,0,0,0,15,0,0,0,0,0,0,0
ṉ,103,0,38,1,0,0,175,106,70,79,145,69,5,68,0,0,0,0
t,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,559,5,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0
m,208,0,94,2,0,0,0,0,164,57,410,102,4,82,0,0,0,0
y,13,0,4,0,0,0,0,0,44,10,19,23,8,18,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
r,141,0,38,2,0,0,0,0,95,151,158,77,5,87,0,0,0,0
l,118,0,48,1,0,0,0,0,54,46,136,105,20,113,0,80,0,0
ḷ,28,0,4,2,0,0,0,0,10,22,23,18,3,36,0,0,57,0
ḻ,28,0,9,0,0,0,0,0,20,35,21,14,1,6,0,0,0,0
