,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,788,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,154,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,46,0,18,0,412,0,0,0,0,0,23,0,0,0,0,0,0,0
ṇ,153,0,25,2,506,220,0,0,73,48,126,116,9,47,0,0,0,0
ṟ,76,0,1,0,0,0,485,0,0,0,28,0,0,0,0,0,0,0
ṉ,405,0,142,8,0,0,789,490,266,253,463,327,43,259,0,0,0,0
t,0,0,0,0,0,0,0,0,1044,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,1489,20,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,542,0,0,0,0,0,0,0
m,652,0,243,10,0,0,0,0,377,222,1029,321,32,254,0,0,0,0
y,65,0,12,0,0,0,0,0,130,84,52,40,59,34,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0
r,560,0,121,5,0,0,0,0,231,319,372,252,35,233,0,0,0,0
l,346,0,119,3,0,0,0,0,148,164,295,179,53,330,0,450,0,0
ḷ,58,0,20,0,0,0,0,0,57,44,77,67,11,106,0,0,259,0
ḻ,67,0,24,0,0,0,0,0,58,89,46,34,2,35,0,0,0,0
