,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,2,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ṇ,4,0,3,0,17,15,0,0,3,4,4,1,0,4,0,0,0,0
ṟ,1,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0
ṉ,20,0,10,0,0,0,24,18,11,7,13,15,0,8,0,0,0,0
t,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
m,51,0,22,0,0,0,0,0,32,16,68,19,0,27,0,0,0,0
y,2,0,3,0,0,0,0,0,5,6,3,5,4,3,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,16,0,6,1,0,0,0,0,11,16,12,9,0,8,0,0,0,0
l,13,0,8,0,0,0,0,0,5,8,16,5,2,14,0,17,0,0
ḷ,4,0,1,0,0,0,0,0,3,6,3,2,0,4,0,0,7,0
ḻ,6,0,2,0,0,0,0,0,4,5,5,0,0,3,0,0,0,0
