,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,2,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
ṇ,4,0,2,0,9,7,0,0,2,1,7,6,1,1,0,0,0,0
ṟ,3,0,0,0,0,0,23,0,0,0,1,0,0,0,0,0,0,0
ṉ,26,0,11,0,0,0,22,26,15,9,17,19,1,13,0,0,0,0
t,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,74,1,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
m,38,0,17,0,0,0,0,0,24,13,50,16,0,16,0,0,0,0
y,4,0,1,0,0,0,0,0,9,6,1,2,0,3,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
r,28,0,4,1,0,0,0,0,10,21,22,13,0,5,0,0,0,0
l,33,0,8,0,0,0,0,0,11,11,8,17,1,27,0,11,0,0
ḷ,3,0,3,0,0,0,0,0,3,5,5,7,0,4,0,0,9,0
ḻ,3,0,2,0,0,0,0,0,6,13,3,0,0,2,0,0,0,0
