,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,2,0,4,0,23,0,0,0,0,0,2,0,0,0,0,0,0,0
ṇ,10,0,6,1,28,6,0,0,8,1,11,7,0,4,0,0,0,0
ṟ,3,0,0,0,0,0,26,0,0,0,4,0,0,0,0,0,0,0
ṉ,24,0,10,0,0,0,42,20,9,15,25,14,0,13,0,0,0,0
t,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,81,2,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
m,36,0,23,0,0,0,0,0,27,9,59,17,2,8,0,0,0,0
y,0,0,3,0,0,0,0,0,9,2,1,5,3,9,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,22,0,11,0,0,0,0,0,18,18,23,18,3,19,0,0,0,0
l,36,0,5,0,0,0,0,0,13,12,18,19,3,33,0,3,0,0
ḷ,14,0,2,1,0,0,0,0,4,3,10,3,0,4,0,0,7,0
ḻ,2,0,1,1,0,0,0,0,9,14,3,2,0,5,0,0,0,0
