,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
ṇ,6,0,2,0,17,8,0,0,2,6,3,6,0,2,0,0,0,0
ṟ,1,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0
ṉ,18,0,5,0,0,0,16,17,8,2,13,8,2,8,0,0,0,0
t,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
m,24,0,7,0,0,0,0,0,12,10,38,15,0,5,0,0,0,0
y,6,0,2,0,0,0,0,0,4,1,3,2,1,3,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
r,9,0,2,0,0,0,0,0,7,10,23,8,0,9,0,0,0,0
l,17,0,7,1,0,0,0,0,9,7,15,18,4,9,0,10,0,0
ḷ,3,0,2,0,0,0,0,0,5,3,5,4,0,2,0,0,12,0
ḻ,3,0,2,0,0,0,0,0,3,4,2,2,0,3,0,0,0,0
