,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,102,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,18,0,13,0,270,0,0,0,0,0,16,0,0,0,0,0,0,0
ṇ,79,0,30,3,273,115,0,0,51,33,83,61,3,32,0,0,0,0
ṟ,25,0,2,0,0,0,282,0,0,0,24,0,0,0,0,0,0,0
ṉ,252,0,105,4,0,0,354,286,158,110,239,168,10,142,0,0,0,0
t,0,0,0,0,0,0,0,0,740,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,922,15,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,437,0,0,0,0,0,0,0
m,514,0,192,4,0,0,0,0,320,140,791,219,3,174,0,0,0,0
y,64,0,21,1,0,0,0,0,92,47,49,45,44,37,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
r,258,0,88,10,0,0,0,0,188,254,298,156,11,159,0,0,0,0
l,279,0,95,2,0,0,0,0,117,119,213,168,28,239,0,152,0,0
ḷ,69,0,23,1,0,0,0,0,55,40,54,48,0,59,0,0,100,0
ḻ,59,0,28,1,0,0,0,0,53,89,42,27,1,31,0,0,0,0
