,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,2,0,3,0,53,0,0,0,0,0,1,0,0,0,0,0,0,0
ṇ,11,0,4,0,35,12,0,0,12,0,12,4,0,3,0,0,0,0
ṟ,1,0,0,0,0,0,36,0,0,0,1,0,0,0,0,0,0,0
ṉ,40,0,23,0,0,0,47,46,23,12,37,28,1,21,0,0,0,0
t,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,109,4,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0
m,71,0,30,0,0,0,0,0,54,21,139,17,0,20,0,0,0,0
y,16,0,6,1,0,0,0,0,10,10,10,7,4,5,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
r,38,0,5,2,0,0,0,0,27,37,40,23,1,27,0,0,0,0
l,45,0,19,1,0,0,0,0,14,23,38,29,3,37,0,20,0,0
ḷ,10,0,3,0,0,0,0,0,8,3,6,6,0,14,0,0,21,0
ḻ,10,0,6,0,0,0,0,0,8,7,8,4,1,6,0,0,0,0
