,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,4,0,2,0,35,0,0,0,0,0,1,0,0,0,0,0,0,0
ṇ,14,0,5,0,51,25,0,0,6,7,14,11,0,9,0,0,0,0
ṟ,11,0,0,0,0,0,44,0,0,0,8,0,0,0,0,0,0,0
ṉ,44,0,12,2,0,0,54,65,24,18,34,26,2,27,0,0,0,0
t,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0
m,91,0,23,3,0,0,0,0,54,22,159,41,0,25,0,0,0,0
y,15,0,1,0,0,0,0,0,13,8,6,5,6,4,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
r,46,0,22,2,0,0,0,0,29,41,44,31,2,30,0,0,0,0
l,35,0,16,0,0,0,0,0,20,13,38,22,8,28,0,34,0,0
ḷ,6,0,1,0,0,0,0,0,13,11,10,7,0,9,0,0,17,0
ḻ,11,0,1,0,0,0,0,0,3,8,6,4,0,7,0,0,0,0
