,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ṇ,3,0,0,1,13,4,0,0,0,2,3,2,2,1,0,0,0,0
ṟ,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0
ṉ,6,0,1,0,0,0,8,4,3,2,8,3,1,2,0,0,0,0
t,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
m,15,0,7,0,0,0,0,0,11,4,17,8,0,6,0,0,0,0
y,2,0,0,0,0,0,0,0,6,1,2,1,3,2,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
r,4,0,4,0,0,0,0,0,6,9,11,3,1,10,0,0,0,0
l,5,0,2,0,0,0,0,0,6,6,8,2,0,7,0,5,0,0
ḷ,4,0,0,0,0,0,0,0,3,3,1,0,0,2,0,0,4,0
ḻ,3,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
