,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,1,0,0,0,29,0,0,0,0,0,1,0,0,0,0,0,0,0
ṇ,8,0,1,0,19,12,0,0,3,3,7,4,0,1,0,0,0,0
ṟ,2,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
ṉ,16,0,6,0,0,0,26,7,18,9,24,13,2,11,0,0,0,0
t,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,59,2,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
m,46,0,8,0,0,0,0,0,28,13,64,24,0,14,0,0,0,0
y,8,0,2,0,0,0,0,0,7,1,3,5,5,1,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
r,19,0,11,1,0,0,0,0,18,13,20,15,0,10,0,0,0,0
l,25,0,9,0,0,0,0,0,12,5,23,18,2,16,0,5,0,0
ḷ,7,0,0,0,0,0,0,0,4,1,1,4,0,4,0,0,5,0
ḻ,8,0,2,0,0,0,0,0,2,4,3,4,0,1,0,0,0,0
