,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,1,0,1,0,18,0,0,0,0,0,2,0,0,0,0,0,0,0
ṇ,4,0,1,0,18,8,0,0,1,2,4,5,0,2,0,0,0,0
ṟ,1,0,0,0,0,0,24,0,0,0,3,0,0,0,0,0,0,0
ṉ,14,0,10,0,0,0,24,22,13,14,26,15,1,15,0,0,0,0
t,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
m,27,0,9,0,0,0,0,0,12,7,40,10,0,8,0,0,0,0
y,0,0,0,0,0,0,0,0,11,4,4,3,9,4,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
r,9,0,4,0,0,0,0,0,9,12,20,6,1,7,0,0,0,0
l,24,0,5,0,0,0,0,0,7,6,15,8,0,18,0,20,0,0
ḷ,7,0,2,0,0,0,0,0,6,3,0,6,0,8,0,0,2,0
ḻ,3,0,2,0,0,0,0,0,4,3,3,3,0,1,0,0,0,0
