,k,ṅ,c,ñ,ṭ,ṇ,ṟ,ṉ,t,n,p,m,y,v,r,l,ḷ,ḻ
k,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṅ,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ñ,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ṭ,4,0,0,0,52,0,0,0,0,0,9,0,0,0,0,0,0,0
ṇ,15,0,6,1,66,18,0,0,14,7,18,15,0,5,0,0,0,0
ṟ,2,0,2,0,0,0,78,0,0,0,4,0,0,0,0,0,0,0
ṉ,44,0,17,2,0,0,91,61,34,21,42,27,0,24,0,0,0,0
t,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,224,6,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0
m,115,0,46,1,0,0,0,0,66,25,157,52,1,45,0,0,0,0
y,11,0,3,0,0,0,0,0,18,8,16,10,9,3,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
r,67,0,18,3,0,0,0,0,53,77,83,30,3,34,0,0,0,0
l,46,0,16,0,0,0,0,0,20,28,34,30,5,50,0,26,0,0
ḷ,11,0,9,0,0,0,0,0,6,2,13,9,0,8,0,0,16,0
ḻ,10,0,8,0,0,0,0,0,13,30,8,8,0,3,0,0,0,0
